perturbation,capacity,phase,spearman,mean_phenotype_drift,curvature_variance
0.0,2,coherent,0.1046801643454138,5078.8977695546655,188578.5482789944
0.0,4,coherent,0.101721982637194,5033.691521507835,163224.36732499232
0.0,6,coherent,0.1017429570390101,4906.201583459002,138159.6369071708
0.0,8,coherent,0.1014961049954893,4786.958799148994,115789.92058052504
0.0,4,coherent,0.1049748220504305,5078.8977695546655,188578.5482789944
0.0,8,transitional,0.0907619721706488,5033.691521507835,163224.36732499232
0.0,12,transitional,0.0870988896629362,4906.201583459002,138159.6369071708
0.0,16,transitional,0.0890402521858113,4786.958799148994,115789.92058052504
0.0,8,transitional,0.0817519470792816,5078.8977695546655,188578.5482789944
0.0,16,transitional,0.098587427790831,5033.691521507835,163224.36732499232
0.0,24,transitional,0.0964525059461204,4906.201583459002,138159.6369071708
0.0,32,transitional,0.0976265494318022,4786.958799148994,115789.92058052504
0.0,16,transitional,0.0856277995715842,5078.8977695546655,188578.5482789944
0.0,32,fragmented,0.0219634020786995,5033.691521507835,163224.36732499232
0.0,48,fragmented,0.0190953910979946,4906.201583459002,138159.6369071708
0.0,64,fragmented,0.0179162599182509,4786.958799148994,115789.92058052504
0.1,2,fragmented,-0.278825489618469,5223.062036876446,146386.11236684132
0.1,4,transitional,0.0855464763398189,5166.008698866732,125555.22933374612
0.1,6,transitional,0.0850880286017254,5042.149478424036,106855.3554631088
0.1,8,transitional,0.0859504993068577,4925.859164546797,89637.22110142566
0.1,4,transitional,0.0918216514056075,5223.062036876446,146386.11236684132
0.1,8,transitional,0.084355469009856,5166.008698866732,125555.22933374612
0.1,12,transitional,0.0810328023492403,5042.149478424036,106855.3554631088
0.1,16,transitional,0.0817285476802579,4925.859164546797,89637.22110142566
0.1,8,coherent,0.104451985356399,5223.062036876446,146386.11236684132
0.1,16,transitional,0.0768986383095903,5166.008698866732,125555.22933374612
0.1,24,transitional,0.0750014391523263,5042.149478424036,106855.3554631088
0.1,32,transitional,0.0743582815081763,4925.859164546797,89637.22110142566
0.1,16,coherent,0.1289550034891471,5223.062036876446,146386.11236684132
0.1,32,transitional,0.0511983032460694,5166.008698866732,125555.22933374612
0.1,48,fragmented,0.0495691455774418,5042.149478424036,106855.3554631088
0.1,64,transitional,0.0545464690499258,4925.859164546797,89637.22110142566
0.25,2,fragmented,0.0472446611442187,5487.240572645086,89957.17766807578
0.25,4,transitional,0.0951673108030073,5378.423551175033,78092.07703763622
0.25,6,transitional,0.0915215757614618,5242.266527128827,66510.74339753707
0.25,8,transitional,0.0975460633328812,5128.086581937112,55799.97995546869
0.25,4,transitional,0.0825049826333194,5487.240572645086,89957.17766807578
0.25,8,transitional,0.0985576957506439,5378.423551175033,78092.07703763622
0.25,12,transitional,0.0980192115845288,5242.266527128827,66510.74339753707
0.25,16,transitional,0.0970695177811078,5128.086581937112,55799.97995546869
0.25,8,transitional,0.0743581501781613,5487.240572645086,89957.17766807578
0.25,16,transitional,0.0694011686497896,5378.423551175033,78092.07703763622
0.25,24,transitional,0.0641953255750646,5242.266527128827,66510.74339753707
0.25,32,transitional,0.0607466619732421,5128.086581937112,55799.97995546869
0.25,16,transitional,0.0749853988422152,5487.240572645086,89957.17766807578
0.25,32,fragmented,0.0466004198354418,5378.423551175033,78092.07703763622
0.25,48,transitional,0.0503405865338789,5242.266527128827,66510.74339753707
0.25,64,transitional,0.0573298697084305,5128.086581937112,55799.97995546869
0.5,2,coherent,0.1311194031621444,5874.353132427232,29557.89919045499
0.5,4,fragmented,-0.0728025234937404,5712.040011291639,26228.205189204324
0.5,6,fragmented,-0.0697616714610863,5562.791174890012,22601.34219980672
0.5,8,fragmented,-0.069691268972881,5457.503025606327,19030.86654173241
0.5,4,transitional,0.0662031207332345,5874.353132427232,29557.89919045499
0.5,8,fragmented,-0.0661042576483502,5712.040011291639,26228.205189204324
0.5,12,fragmented,-0.0638439644080307,5562.791174890012,22601.34219980672
0.5,16,fragmented,-0.0638621908636844,5457.503025606327,19030.86654173241
0.5,8,fragmented,0.0165479543799515,5874.353132427232,29557.89919045499
0.5,16,fragmented,-0.0143109887295538,5712.040011291639,26228.205189204324
0.5,24,fragmented,-0.0112012502639557,5562.791174890012,22601.34219980672
0.5,32,fragmented,-0.011391136953441,5457.503025606327,19030.86654173241
0.5,16,fragmented,-0.0551019677490996,5874.353132427232,29557.89919045499
0.5,32,fragmented,-0.0004349300652551,5712.040011291639,26228.205189204324
0.5,48,fragmented,0.0036008063521918,5562.791174890012,22601.34219980672
0.5,64,fragmented,0.0053378516281695,5457.503025606327,19030.86654173241
0.75,2,fragmented,-0.0462402541813182,6328.314732483336,4166.663718495975
0.75,4,fragmented,-0.0459321412938548,6101.405055415534,3831.5271073292806
0.75,6,fragmented,-0.0433960335176348,5941.088660714438,3299.167125957915
0.75,8,fragmented,-0.0433943074111507,5829.086758624482,2799.8144250729724
0.75,4,fragmented,-0.0444836042525407,6328.314732483336,4166.663718495975
0.75,8,fragmented,-0.0157890082072254,6101.405055415534,3831.5271073292806
0.75,12,fragmented,-0.0170253693210642,5941.088660714438,3299.167125957915
0.75,16,fragmented,-0.0173980904318297,5829.086758624482,2799.8144250729724
0.75,8,fragmented,-0.0374239550703435,6328.314732483336,4166.663718495975
0.75,16,fragmented,-0.0159839119336885,6101.405055415534,3831.5271073292806
0.75,24,fragmented,-0.0207960525837256,5941.088660714438,3299.167125957915
0.75,32,fragmented,-0.0220057314321708,5829.086758624482,2799.8144250729724
