redundancy,bottleneck_pressure,fragmentation_rate,robust_rate,mean_phase_code
2,0.0,0.0,0.0,1.0
2,0.1,1.0,0.0,0.0
2,0.25,1.0,0.0,0.0
2,0.5,1.0,0.0,0.0
4,0.0,0.0,0.0,1.0
4,0.1,0.0,0.0,1.0
4,0.25,0.4,0.0,0.6
4,0.5,1.0,0.0,0.0
6,0.0,0.0,0.0,1.0
6,0.1,0.0,0.0,1.0
6,0.25,0.0,0.0,1.0
6,0.5,0.2,0.0,0.8
8,0.0,0.0,0.2,1.2
8,0.1,0.0,0.2,1.2
8,0.25,0.0,0.0,1.0
8,0.5,0.0,0.0,1.0
10,0.0,0.0,0.2,1.2
10,0.1,0.0,0.4,1.4
10,0.25,0.0,0.0,1.0
10,0.5,0.0,0.0,1.0
12,0.0,0.0,0.2,1.2
12,0.1,0.0,0.4,1.4
12,0.25,0.0,0.4,1.4
12,0.5,0.0,0.2,1.2
