regime,pair,dims_per_level,recursive_depth,total_recursive_dims,transfer_rho,pearson,kendall,r2,mean_curvature,curvature_variance,bottleneck_density,mean_edge_betweenness,max_edge_betweenness,mean_phenotype_drift,final_level_curvature,final_level_variance,final_level_bottleneck_density,final_level_phenotype_drift,recursive_stability_efficiency,log_curvature_variance,log_phenotype_drift,stability_score,stability_per_capacity
compatible,ppluGFP->amacGFP,2,1,2,0.1046801643454138,-0.0830978130839753,0.0677207545939357,-7.010897649252,-324.9986766037473,188578.5482789944,0.100694202595714,0.0002476975736908,0.0952095219043808,5078.8977695546655,-324.9986766037473,188578.5482789944,0.100694202595714,5078.8977695546655,1.4545810479216932e-12,12.147275203635498,8.533046416266624,0.76353167815389,0.381765839076945
compatible,ppluGFP->amacGFP,2,2,4,0.101721982637194,-0.0852491086474061,0.0658861790749301,-9.10583917419613,-317.61368446665085,163224.36732499232,0.1007149921621637,0.0003042068396568,0.1405043036119051,5033.691521507835,-310.2286923295544,137870.18637099027,0.1007357817286133,4988.485273461006,8.674414709685657e-13,12.002887146473453,8.524107536445156,0.7885789418202588,0.1971447354550647
compatible,ppluGFP->amacGFP,2,3,6,0.1017429570390101,-0.0853208824953748,0.0660264626079825,-9.05777424830472,-301.28558657864966,138159.6369071708,0.1007990778677109,0.0003414597336017,0.1398287502880338,4906.201583459002,-268.6293908026472,88030.17607152775,0.1009672492788053,4651.221707361335,7.387628146400625e-13,11.836172322734448,8.49845911604069,0.8012076515071752,0.1335346085845292
compatible,ppluGFP->amacGFP,2,4,8,0.1014961049954893,-0.0852903189646044,0.0658131547700535,-8.938353377526472,-283.5610771794202,115789.92058052504,0.1007800578902693,0.00037182681106,0.19157937860406,4786.958799148994,-230.3875489817319,48680.7716005878,0.1007229979579447,4429.230446218972,7.197953759404349e-13,11.659541435006746,8.473859461617657,0.8550074985817223,0.10687593732271529
compatible,ppluGFP->amacGFP,4,1,4,0.1049748220504305,-0.0817084785398301,0.0678296504871728,-8.090732861747762,-324.9986766037473,188578.5482789944,0.100694202595714,0.0002476975736908,0.0952095219043808,5078.8977695546655,-324.9986766037473,188578.5482789944,0.100694202595714,5078.8977695546655,7.272905239608466e-13,12.147275203635498,8.533046416266624,0.76353167815389,0.1908829195384725
compatible,ppluGFP->amacGFP,4,2,8,0.0907619721706488,-0.0730810449740193,0.0589322154456267,-6.80755014427895,-317.61368446665085,163224.36732499232,0.1007149921621637,0.0003042068396568,0.1405043036119051,5033.691521507835,-310.2286923295544,137870.18637099027,0.1007357817286133,4988.485273461006,4.3372073548428284e-13,12.002887146473453,8.524107536445156,0.7885789418202588,0.09857236772753235
compatible,ppluGFP->amacGFP,4,3,12,0.0870988896629362,-0.0757009060767993,0.0563654751856213,-7.1219307978184965,-301.28558657864966,138159.6369071708,0.1007990778677109,0.0003414597336017,0.1398287502880338,4906.201583459002,-268.6293908026472,88030.17607152775,0.1009672492788053,4651.221707361335,3.693814073200313e-13,11.836172322734448,8.49845911604069,0.8012076515071752,0.0667673042922646
compatible,ppluGFP->amacGFP,4,4,16,0.0890402521858113,-0.0758107764615849,0.0575511592937496,-7.148483918011639,-283.5610771794202,115789.92058052504,0.1007800578902693,0.00037182681106,0.19157937860406,4786.958799148994,-230.3875489817319,48680.7716005878,0.1007229979579447,4429.230446218972,3.5989768797021743e-13,11.659541435006746,8.473859461617657,0.8550074985817223,0.053437968661357645
compatible,ppluGFP->amacGFP,8,1,8,0.0817519470792816,-0.0262265425076021,0.0531844339749433,-7.706423701537577,-324.9986766037473,188578.5482789944,0.100694202595714,0.0002476975736908,0.0952095219043808,5078.8977695546655,-324.9986766037473,188578.5482789944,0.100694202595714,5078.8977695546655,3.636452619804233e-13,12.147275203635498,8.533046416266624,0.76353167815389,0.09544145976923625
compatible,ppluGFP->amacGFP,8,2,16,0.098587427790831,-0.023830873932484,0.0685124917941769,-22.613203294404418,-317.61368446665085,163224.36732499232,0.1007149921621637,0.0003042068396568,0.1405043036119051,5033.691521507835,-310.2286923295544,137870.18637099027,0.1007357817286133,4988.485273461006,2.1686036774214142e-13,12.002887146473453,8.524107536445156,0.7885789418202588,0.049286183863766174
compatible,ppluGFP->amacGFP,8,3,24,0.0964525059461204,-0.027206325330006,0.0669841059043908,-22.876449331577383,-301.28558657864966,138159.6369071708,0.1007990778677109,0.0003414597336017,0.1398287502880338,4906.201583459002,-268.6293908026472,88030.17607152775,0.1009672492788053,4651.221707361335,1.8469070366001566e-13,11.836172322734448,8.49845911604069,0.8012076515071752,0.0333836521461323
compatible,ppluGFP->amacGFP,8,4,32,0.0976265494318022,-0.0253434246643102,0.0677271602347143,-23.9144158139064,-283.5610771794202,115789.92058052504,0.1007800578902693,0.00037182681106,0.19157937860406,4786.958799148994,-230.3875489817319,48680.7716005878,0.1007229979579447,4429.230446218972,1.7994884398510872e-13,11.659541435006746,8.473859461617657,0.8550074985817223,0.026718984330678822
compatible,ppluGFP->amacGFP,16,1,16,0.0856277995715842,-0.0178608472185545,0.0612126235628264,-26.258327807318288,-324.9986766037473,188578.5482789944,0.100694202595714,0.0002476975736908,0.0952095219043808,5078.8977695546655,-324.9986766037473,188578.5482789944,0.100694202595714,5078.8977695546655,1.8182263099021165e-13,12.147275203635498,8.533046416266624,0.76353167815389,0.047720729884618125
compatible,ppluGFP->amacGFP,16,2,32,0.0219634020786995,-0.0538876009274623,0.0163917144705285,-42.25776036954954,-317.61368446665085,163224.36732499232,0.1007149921621637,0.0003042068396568,0.1405043036119051,5033.691521507835,-310.2286923295544,137870.18637099027,0.1007357817286133,4988.485273461006,1.0843018387107071e-13,12.002887146473453,8.524107536445156,0.7885789418202588,0.024643091931883087
compatible,ppluGFP->amacGFP,16,3,48,0.0190953910979946,-0.0564825986341951,0.0144994881845151,-44.485783860230086,-301.28558657864966,138159.6369071708,0.1007990778677109,0.0003414597336017,0.1398287502880338,4906.201583459002,-268.6293908026472,88030.17607152775,0.1009672492788053,4651.221707361335,9.234535183000783e-14,11.836172322734448,8.49845911604069,0.8012076515071752,0.01669182607306615
compatible,ppluGFP->amacGFP,16,4,64,0.0179162599182509,-0.0558752335792313,0.0137461848289457,-46.61159899731138,-283.5610771794202,115789.92058052504,0.1007800578902693,0.00037182681106,0.19157937860406,4786.958799148994,-230.3875489817319,48680.7716005878,0.1007229979579447,4429.230446218972,8.997442199255436e-14,11.659541435006746,8.473859461617657,0.8550074985817223,0.013359492165339411
intermediate,ppluGFP->cgreGFP,2,1,2,-0.0624644831848837,-0.0158348338129931,-0.0364903624102097,-5.447780857316394,-355.1363518269208,347653.6764175087,0.1015612083421904,0.0001872281567638,0.1771802360472094,10140.193023018248,-355.1363518269208,347653.6764175087,0.1015612083421904,10140.193023018248,3.6149969933685874e-13,12.758964956946858,9.224360925354357,0.0,0.0
intermediate,ppluGFP->cgreGFP,2,2,4,-0.0623881069213478,-0.0151638688846332,-0.0364330343054272,-5.0347331855753525,-342.9709541357822,293067.4536386971,0.1014479536573801,0.0002236140779077,0.1708197309339319,9375.92840979488,-330.8055564446436,238481.2308598855,0.1013346989725698,8611.663796571514,2.4011792631396616e-13,12.588161490878129,9.146007526730662,0.1127311337524927,0.028182783438123176
intermediate,ppluGFP->cgreGFP,2,3,6,-0.060569334461304,-0.0150964658337449,-0.0351533891093895,-5.015406074981679,-315.9032834118215,239985.02947361616,0.1012416648184244,0.0002436194141177,0.1440646347561193,8766.407730338595,-261.76794196390017,133820.18114345425,0.100829087140513,7547.366371426023,2.2697718835329761e-13,12.388335990103231,9.078796457902907,0.262124868123584,0.04368747802059733
intermediate,ppluGFP->cgreGFP,2,4,8,-0.060517729227668,-0.0151353693377848,-0.0351117579856784,-5.070417943797241,-289.2901376405248,196244.00013832733,0.1009409369269445,0.0002629243784564,0.1653992217584785,8333.037721455072,-209.45070032663452,65020.912132460886,0.1000387532525051,7032.927694804502,2.3914408775252663e-13,12.187119158317957,9.028103338184668,0.44077082350389524,0.055096352937986905
intermediate,ppluGFP->cgreGFP,4,1,4,-0.0625653935783555,-0.0159365007840532,-0.0364876383408169,-6.761067256797489,-355.1363518269208,347653.6764175087,0.1015612083421904,0.0001872281567638,0.1771802360472094,10140.193023018248,-355.1363518269208,347653.6764175087,0.1015612083421904,10140.193023018248,1.8074984966842937e-13,12.758964956946858,9.224360925354357,0.0,0.0
intermediate,ppluGFP->cgreGFP,4,2,8,-0.0626093164192271,-0.015474731917604,-0.0365251687595419,-6.229543768019317,-342.9709541357822,293067.4536386971,0.1014479536573801,0.0002236140779077,0.1708197309339319,9375.92840979488,-330.8055564446436,238481.2308598855,0.1013346989725698,8611.663796571514,1.2005896315698308e-13,12.588161490878129,9.146007526730662,0.1127311337524927,0.014091391719061588
intermediate,ppluGFP->cgreGFP,4,3,12,-0.0638067260436468,-0.0155332494828602,-0.037494292722829,-6.415824552978132,-315.9032834118215,239985.02947361616,0.1012416648184244,0.0002436194141177,0.1440646347561193,8766.407730338595,-261.76794196390017,133820.18114345425,0.100829087140513,7547.366371426023,1.1348859417664881e-13,12.388335990103231,9.078796457902907,0.262124868123584,0.021843739010298666
intermediate,ppluGFP->cgreGFP,4,4,16,-0.0630183229815147,-0.0156229709276475,-0.0368752796851778,-6.632992211437939,-289.2901376405248,196244.00013832733,0.1009409369269445,0.0002629243784564,0.1653992217584785,8333.037721455072,-209.45070032663452,65020.912132460886,0.1000387532525051,7032.927694804502,1.1957204387626332e-13,12.187119158317957,9.028103338184668,0.44077082350389524,0.027548176468993452
intermediate,ppluGFP->cgreGFP,8,1,8,-0.0594558752356323,-0.0153992154043688,-0.0345377944604157,-6.264960087335017,-355.1363518269208,347653.6764175087,0.1015612083421904,0.0001872281567638,0.1771802360472094,10140.193023018248,-355.1363518269208,347653.6764175087,0.1015612083421904,10140.193023018248,9.037492483421468e-14,12.758964956946858,9.224360925354357,0.0,0.0
intermediate,ppluGFP->cgreGFP,8,2,16,-0.0628442036613725,-0.0151983156138885,-0.0389725328518038,-5.692918650267239,-342.9709541357822,293067.4536386971,0.1014479536573801,0.0002236140779077,0.1708197309339319,9375.92840979488,-330.8055564446436,238481.2308598855,0.1013346989725698,8611.663796571514,6.002948157849154e-14,12.588161490878129,9.146007526730662,0.1127311337524927,0.007045695859530794
intermediate,ppluGFP->cgreGFP,8,3,24,-0.0619888400300726,-0.0150024650721607,-0.0387582349363073,-5.7852955610191765,-315.9032834118215,239985.02947361616,0.1012416648184244,0.0002436194141177,0.1440646347561193,8766.407730338595,-261.76794196390017,133820.18114345425,0.100829087140513,7547.366371426023,5.6744297088324403e-14,12.388335990103231,9.078796457902907,0.262124868123584,0.010921869505149333
intermediate,ppluGFP->cgreGFP,8,4,32,-0.0610651465131977,-0.0151293924727394,-0.0380225242582654,-5.996362285203221,-289.2901376405248,196244.00013832733,0.1009409369269445,0.0002629243784564,0.1653992217584785,8333.037721455072,-209.45070032663452,65020.912132460886,0.1000387532525051,7032.927694804502,5.978602193813166e-14,12.187119158317957,9.028103338184668,0.44077082350389524,0.013774088234496726
intermediate,ppluGFP->cgreGFP,16,1,16,-0.0121733520402299,-0.0296300269531491,-0.0054383223342803,-5.596782466950989,-355.1363518269208,347653.6764175087,0.1015612083421904,0.0001872281567638,0.1771802360472094,10140.193023018248,-355.1363518269208,347653.6764175087,0.1015612083421904,10140.193023018248,4.518746241710734e-14,12.758964956946858,9.224360925354357,0.0,0.0
intermediate,ppluGFP->cgreGFP,16,2,32,-0.0261638275657137,-0.0334527036753037,-0.0160644951716972,-4.829470005537251,-342.9709541357822,293067.4536386971,0.1014479536573801,0.0002236140779077,0.1708197309339319,9375.92840979488,-330.8055564446436,238481.2308598855,0.1013346989725698,8611.663796571514,3.001474078924577e-14,12.588161490878129,9.146007526730662,0.1127311337524927,0.003522847929765397
intermediate,ppluGFP->cgreGFP,16,3,48,-0.0308135016349558,-0.033223826145894,-0.019584713796317,-4.906027206346839,-315.9032834118215,239985.02947361616,0.1012416648184244,0.0002436194141177,0.1440646347561193,8766.407730338595,-261.76794196390017,133820.18114345425,0.100829087140513,7547.366371426023,2.8372148544162202e-14,12.388335990103231,9.078796457902907,0.262124868123584,0.005460934752574666
intermediate,ppluGFP->cgreGFP,16,4,64,-0.0315152678577309,-0.0337495657323298,-0.0197621579301676,-5.14264862767122,-289.2901376405248,196244.00013832733,0.1009409369269445,0.0002629243784564,0.1653992217584785,8333.037721455072,-209.45070032663452,65020.912132460886,0.1000387532525051,7032.927694804502,2.989301096906582e-14,12.187119158317957,9.028103338184668,0.44077082350389524,0.006887044117248363
incompatible,amacGFP->cgreGFP,2,1,2,-0.0535205053750374,-0.0173233445931838,-0.0297631870689759,-1.2782679528428569,-263.2227556193638,88075.74660228587,0.1006998968100856,0.000203193657346,0.1584872174434887,9669.287891582457,-263.2227556193638,88075.74660228587,0.1006998968100856,9669.287891582457,2.0185066905559838e-12,11.385963833864764,9.176813359625937,0.6286913611160149,0.31434568055800743
incompatible,amacGFP->cgreGFP,2,2,4,-0.0547649435837579,-0.0179335848262739,-0.0307172906798593,-1.3735998076218037,-266.04081352812284,79670.56232447353,0.1008444219361655,0.0002355416416128,0.2383101709997072,8505.308145699359,-268.8588714368819,71265.3780466612,0.1009889470622455,7341.328399816261,1.254850463220359e-12,11.28566799212909,9.048563302020717,0.6502812202896612,0.1625703050724153
incompatible,amacGFP->cgreGFP,2,3,6,-0.0544223598335663,-0.017865028034471,-0.0304695464531728,-1.3725940555295448,-266.0438073690345,73896.34827335853,0.1008311530077954,0.0002537839516586,0.2654838670452706,7825.593065906079,-266.04979505085777,62347.92017112848,0.1008046151510551,6466.162906319516,9.80265952572494e-13,11.210432223658646,8.965282581384658,0.7075189515390626,0.11791982525651044
incompatible,amacGFP->cgreGFP,2,4,8,-0.0548531481771216,-0.0177571346581829,-0.0307677890935293,-1.3428565354742532,-259.8572960188464,66390.55963875014,0.1007209389863687,0.0002804070669985,0.3028186553372164,7336.57811361893,-241.2977619682822,43873.193734925015,0.1003902969220888,5869.533256757484,8.936432679327989e-13,11.103325213510628,8.900764109888058,0.800112171089599,0.10001402138619987
incompatible,amacGFP->cgreGFP,4,1,4,-0.0533894675461958,-0.0172565050404798,-0.029648526095395,-1.4646252022029662,-263.2227556193638,88075.74660228587,0.1006998968100856,0.000203193657346,0.1584872174434887,9669.287891582457,-263.2227556193638,88075.74660228587,0.1006998968100856,9669.287891582457,1.0092533452779917e-12,11.385963833864764,9.176813359625937,0.6286913611160149,0.15717284027900372
incompatible,amacGFP->cgreGFP,4,2,8,-0.0522024452006142,-0.0185168326975,-0.0288138608009225,-1.551253551981568,-266.04081352812284,79670.56232447353,0.1008444219361655,0.0002355416416128,0.2383101709997072,8505.308145699359,-268.8588714368819,71265.3780466612,0.1009889470622455,7341.328399816261,6.274252316101795e-13,11.28566799212909,9.048563302020717,0.6502812202896612,0.08128515253620765
incompatible,amacGFP->cgreGFP,4,3,12,-0.0525530372711971,-0.0185640256585631,-0.0291209756971295,-1.5601635557785336,-266.0438073690345,73896.34827335853,0.1008311530077954,0.0002537839516586,0.2654838670452706,7825.593065906079,-266.04979505085777,62347.92017112848,0.1008046151510551,6466.162906319516,4.90132976286247e-13,11.210432223658646,8.965282581384658,0.7075189515390626,0.05895991262825522
incompatible,amacGFP->cgreGFP,4,4,16,-0.0529711653369032,-0.0185003220563991,-0.0294799588869183,-1.5286601366704722,-259.8572960188464,66390.55963875014,0.1007209389863687,0.0002804070669985,0.3028186553372164,7336.57811361893,-241.2977619682822,43873.193734925015,0.1003902969220888,5869.533256757484,4.4682163396639943e-13,11.103325213510628,8.900764109888058,0.800112171089599,0.050007010693099936
incompatible,amacGFP->cgreGFP,8,1,8,-0.024649827855506,-0.0422294931867007,-0.0130882131600253,-2.045322888250317,-263.2227556193638,88075.74660228587,0.1006998968100856,0.000203193657346,0.1584872174434887,9669.287891582457,-263.2227556193638,88075.74660228587,0.1006998968100856,9669.287891582457,5.046266726389958e-13,11.385963833864764,9.176813359625937,0.6286913611160149,0.07858642013950186
incompatible,amacGFP->cgreGFP,8,2,16,-0.004002079888777,-0.0284077258380848,0.0007742707772154,-1.5838547505271867,-266.04081352812284,79670.56232447353,0.1008444219361655,0.0002355416416128,0.2383101709997072,8505.308145699359,-268.8588714368819,71265.3780466612,0.1009889470622455,7341.328399816261,3.1371261580508973e-13,11.28566799212909,9.048563302020717,0.6502812202896612,0.040642576268103824
incompatible,amacGFP->cgreGFP,8,3,24,-0.0029109959002613,-0.0281586336194101,0.0014956493051288,-1.5951818610838977,-266.0438073690345,73896.34827335853,0.1008311530077954,0.0002537839516586,0.2654838670452706,7825.593065906079,-266.04979505085777,62347.92017112848,0.1008046151510551,6466.162906319516,2.450664881431235e-13,11.210432223658646,8.965282581384658,0.7075189515390626,0.02947995631412761
incompatible,amacGFP->cgreGFP,8,4,32,-0.0047925884734702,-0.0288943002535131,0.0002760621236251,-1.5618415920385686,-259.8572960188464,66390.55963875014,0.1007209389863687,0.0002804070669985,0.3028186553372164,7336.57811361893,-241.2977619682822,43873.193734925015,0.1003902969220888,5869.533256757484,2.2341081698319971e-13,11.103325213510628,8.900764109888058,0.800112171089599,0.025003505346549968
incompatible,amacGFP->cgreGFP,16,1,16,0.1133048743532755,0.0138923444639887,0.0820450489117122,-0.250669512443217,-263.2227556193638,88075.74660228587,0.1006998968100856,0.000203193657346,0.1584872174434887,9669.287891582457,-263.2227556193638,88075.74660228587,0.1006998968100856,9669.287891582457,2.523133363194979e-13,11.385963833864764,9.176813359625937,0.6286913611160149,0.03929321006975093
incompatible,amacGFP->cgreGFP,16,2,32,0.1197344280945583,0.0322317173720862,0.0861788147529923,-0.1973552223373822,-266.04081352812284,79670.56232447353,0.1008444219361655,0.0002355416416128,0.2383101709997072,8505.308145699359,-268.8588714368819,71265.3780466612,0.1009889470622455,7341.328399816261,1.5685630790254486e-13,11.28566799212909,9.048563302020717,0.6502812202896612,0.020321288134051912
