system,intervention,predicted_phase,nodes,edges,components,largest_component_fraction,clustering,spectral_gap,mean_edge_betweenness,max_edge_betweenness,mean_phenotype_drift
sparse_structured,baseline,robust,400,792,9,0.98,0.007248013098013098,0.0,0.005198776613250297,0.02634045490214914,1.0281477427369574
sparse_structured,redundancy_enhanced,robust,400,907,6,0.9875,0.009636872501423584,0.0,0.004255415274680637,0.015109749241810405,1.0344366383724228
sparse_structured,bottleneck_amplified,robust,400,596,28,0.925,0.01278887085137085,-3.0531133177045225e-16,0.007468545524886042,0.04222871681449743,1.0088073614168898
sparse_structured,cluster_enhanced,robust,400,45023,1,1.0,0.5755735013480017,0.9135744103891252,3.1890411678753785e-05,5.216643253423787e-05,1.0376107182436676
sparse_structured,bridge_removed,robust,400,713,9,0.9775,0.007228725222146275,-3.018923985709708e-16,0.006236418535820618,0.026652652307395792,1.0266297505533208
dense_redundant,baseline,robust,400,2360,1,1.0,0.0798279295309094,0.3713465859473929,0.0011568115203262391,0.0022382623199055573,1.0738593474197369
dense_redundant,redundancy_enhanced,robust,400,2697,1,1.0,0.06278997441439223,0.4348145538550492,0.0009675374940874619,0.001600334749594318,1.0820387998222523
dense_redundant,bottleneck_amplified,robust,400,2243,1,1.0,0.075861805484677,0.3711197473478398,0.0012391321594221844,0.005,1.0778059589051678
dense_redundant,cluster_enhanced,robust,400,22991,1,1.0,0.35879099166070033,0.7205518795100891,7.445977825691627e-05,0.00016587912214836576,1.0992402277842972
dense_redundant,bridge_removed,robust,400,2120,1,1.0,0.08735777043304133,0.32569182661287166,0.0013411122144985107,0.0026828070775883482,1.0989466411897568
