redundancy,bottleneck_pressure,mean_phase_code,robust_fraction,transitional_fraction,fragmentation_fraction,mean_max_betweenness,mean_clustering,mean_largest_component
2,0.0,1.0,0.0,1.0,0.0,0.06570018001352587,0.0024999999999999996,0.8265
2,0.1,0.0,0.0,0.0,1.0,0.15774563976355094,0.016199984663752783,0.8325309857653442
2,0.25,0.0,0.0,0.0,1.0,0.1465426825759253,0.006844229217110573,0.8084095401855166
2,0.5,0.0,0.0,0.0,1.0,0.23304376163084578,0.010074074074074074,0.7969092970521542
4,0.0,1.0,0.0,1.0,0.0,0.01784582046544365,0.04995909090909091,0.992
4,0.1,1.0,0.0,1.0,0.0,0.02066641475721813,0.047200505910231574,0.9819320088634684
4,0.25,0.6,0.0,0.6,0.4,0.05406346450148823,0.053146894832128456,0.9620654333923889
4,0.5,0.0,0.0,0.0,1.0,0.1757927959508317,0.04606707961202343,0.9278341976375684
6,0.0,1.0,0.0,1.0,0.0,0.006979829384522869,0.06452914862914863,0.999
6,0.1,1.0,0.0,1.0,0.0,0.008391201519428333,0.07043528138528139,0.9984999999999999
6,0.25,1.0,0.0,1.0,0.0,0.01664246901004555,0.07246450886018811,0.9934081978019489
6,0.5,0.8,0.0,0.8,0.2,0.06021308705455315,0.05584166490680829,0.9630810545991144
8,0.0,1.2,0.2,0.8,0.0,0.004500011474231617,0.07323812209032797,1.0
8,0.1,1.2,0.2,0.8,0.0,0.005235789783535131,0.07296431485181484,1.0
8,0.25,1.0,0.0,1.0,0.0,0.007858564368344572,0.07408710423235712,0.9984911901921049
8,0.5,1.0,0.0,1.0,0.0,0.018135084652796313,0.07828229238448842,0.9865725293554893
10,0.0,1.2,0.2,0.8,0.0,0.002988528603490557,0.07811468317973735,1.0
10,0.1,1.4,0.4,0.6,0.0,0.0037617014703813503,0.08523286207686362,1.0
10,0.25,1.0,0.0,1.0,0.0,0.005101119033388095,0.08232675646463525,0.999
10,0.5,1.0,0.0,1.0,0.0,0.010572845577925665,0.07652283361148293,0.9962580269701352
12,0.0,1.2,0.2,0.8,0.0,0.002251954823957435,0.08166584845005728,1.0
12,0.1,1.4,0.4,0.6,0.0,0.0028863329656734116,0.08664498252865126,1.0
12,0.25,1.4,0.4,0.6,0.0,0.004336004892705841,0.08988117024991854,1.0
12,0.5,1.2,0.2,0.8,0.0,0.008050552904193212,0.08692192699455921,0.9979101785795947
